Voltage_V,Current_A
2.38,-4.78983658e-13
2.45,-1.8863553e-13
2.52,-1.6142933e-13
2.59,-1.25080064e-13
2.66,-5.55118767e-15
2.73,-6.27502746e-13
2.8,-2.04914649e-13
2.87,-1.35582608e-12
2.94,-2.71823462e-14
3.01,-8.62777794e-14
3.08,6.46942153e-14
3.15,-1.34892136e-13
3.22,-1.23296051e-13
3.29,8.00812969e-14
3.36,8.0304298e-14
3.43,1.59246716e-13
3.5,-2.19855758e-13
3.57,2.18779885e-14
3.64,-4.27924606e-14
3.71,1.04165424e-13
3.78,2.97507449e-13
3.85,-6.59846306e-14
3.92,3.84031907e-13
3.99,1.30702565e-13
4.06,5.10911433e-14
4.13,8.32033134e-14
4.2,2.4487917e-13
4.27,7.70046953e-13
4.34,4.89511466e-13
4.41,2.26593073e-13
4.48,1.46312648e-13
4.55,5.10911433e-14
4.62,3.67752821e-13
4.69,6.00120052e-13
4.76,2.16549873e-14
4.83,4.11238052e-13
4.9,7.54659871e-13
4.97,3.04197484e-13
5.04,3.09326512e-13
5.11,4.18151088e-13
5.18,3.57717768e-13
5.25,7.80528008e-13
5.32,5.19393625e-13
5.39,9.11652703e-13
5.46,9.3551383e-13
5.53,6.45835295e-13
5.6,5.59310836e-13
5.67,7.3169075e-13
5.74,1.1190438e-12
5.81,7.47523834e-13
5.88,9.42649867e-13
5.95,4.64758335e-13
6.02,1.03898638e-12
6.09,4.39559202e-13
6.16,9.71863022e-13
6.23,-1.04786915e-13
6.3,1.36947413e-12
6.37,1.85896172e-12
6.44,9.44210876e-13
6.51,1.28629469e-12
6.58,1.60273337e-12
6.65,1.20356125e-12
6.72,1.94548618e-12
6.79,8.02605125e-13
6.86,1.05102844e-12
6.93,1.37281915e-12
7,1.32219788e-12
